vowel,stress,word,F1,F2,F3,obs_ID
AY,1,I,669.7,1527,2286.9,1
AE,1,AM,656.5,1753.4,2908.1,2
AH,1,UM,617.2,1330.5,2424.9,3
AO,1,PORTLAND,503.3,910.8,2385.4,4
AH,0,JUST,455.3,1634.3,2686.4,5
AH,1,UH,579.3,1588.3,2804.5,6
AY,1,LIKE,569.8,1500.2,2787.6,7
AW,2,SOUTHWEST,695,1467.7,2453.6,8
EH,1,SOUTHWEST,570.7,1482.7,2506.9,9
IY,1,BEAVERTON,387.3,2055,2433.9,10
ER,0,BEAVERTON,471,1630.5,2042.3,11
AH,0,BEAVERTON,517.2,1803.1,2569.9,12
EH,1,EVERYWHERE,583.5,1741.4,2713.8,13
AE,1,YEAH,567.8,1747.3,2751.4,14
AH,1,UM,608.5,1221.4,1768.4,15
AE,1,YEAH,707.7,1942,4075.6,16
OW,1,NO,553.9,1706,2445.2,17
AH,0,IT,528.8,1677.9,2647.3,18
IH,1,IT,501.6,2079.2,3959.7,19
AW,1,SOUND,699,1585.4,2760.2,20
AY,1,LIKE,662.8,1527,3295.6,21
OW,1,SO,545.6,1566.2,2587.2,22
IY,1,PEOPLE,375.2,2315.5,3537.1,23
AE,1,ASK,733.7,1896,3403,24
OW,1,KNOW,591.3,1448.3,2787.4,25
AO,1,BORN,477.2,868.7,2489.9,26
IH,1,HERE,541.6,2003.2,2694.4,27
AE,1,AND,480,1913.6,NA,28
EY,1,SAY,553,1856,2631.9,29
OW,1,NO,534.6,1507.2,3255.7,30
AY,1,I'VE,575.1,1663.9,2942.4,31
IH,1,BEEN,461.4,1987,3269.5,32
IH,1,HERE,447.5,2084,2777.2,33
ER,0,FOR,492.6,1426.4,1904.2,34
AY,1,LIKE,609.6,1508,2677.1,35
EH,1,EH,502.5,1984.9,4125.4,36
AO,1,FORTY,476,865.7,2470.5,37
AO,1,FOUR,477,913.5,2538.1,38
ER,0,YEARS,480.1,1786.5,2248.5,39
AH,1,SOMETHING,583.6,1355.8,2312.7,40
AY,1,LIKE,607.6,1565.1,2765.1,41
AH,1,UH,640.1,1307.4,2669.5,42
OW,1,NO,577.8,1669,2806.3,43
AY,1,I'VE,728.4,1395.1,2385.9,44
IH,1,LIVED,463.6,1454.5,2759.6,45
EH,1,EVERYWHERE,523.4,1739.7,2461.3,46
IY,0,EVERYWHERE,463.2,1717.8,2442.7,47
EH,2,EVERYWHERE,574.4,1494.4,2173.7,48
AE,1,ACTUALLY,681.3,1515.8,2615.4,49
IY,0,ACTUALLY,586.7,2014.3,3744.6,50
AE,1,YEAH,655,1975.2,3167.2,51
AH,1,UH,650.4,1586.2,2645.1,52
AW,2,SOUTHEAST,769.3,1413.7,3840.1,53
IY,1,SOUTHEAST,396,2547.1,4375.5,54
AH,1,UM,621.1,1209,1795.4,55
AH,1,UH,671.8,1455.1,2412.6,56
EH,1,GRESHAM,551.8,1844.6,2669.5,57
AE,1,HAPPY,803.6,1633.2,2164.7,58
IY,0,HAPPY,403.9,2219.7,2811.3,59
AE,1,VALLEY,744.4,1661.3,3416.1,60
IY,0,VALLEY,468.6,2225.6,3699.2,61
AY,1,LIKE,632.2,1559.7,2453.4,62
IY,1,BEAVERTON,365.5,2245.7,2919,63
ER,0,BEAVERTON,477,1767.8,2258.2,64
AH,0,BEAVERTON,510.6,1708,4067.2,65
AY,1,I,742.7,1727.8,2327.2,66
AY,1,I,768.4,1694.2,2442.9,67
IY,1,BEAVERTON,370.8,2144.3,2758.6,68
AY,1,HIGH,709.1,1789.7,2585.2,69
UW,1,SCHOOL,452.6,883.7,2546.2,70
AH,1,UM,589.6,1278.1,1812.9,71
AY,1,I,754.4,1464.3,2396,72
OW,0,ALSO,467.4,1194.7,2576.1,73
IH,1,RIVERDALE,484.3,1580.4,2137.4,74
ER,0,RIVERDALE,430.3,1583.8,1894.8,75
EY,2,RIVERDALE,590.8,1618.6,2552.7,76
AY,1,HIGH,756.7,1570.8,2571,77
UW,1,SCHOOL,445,834,2456,78
OW,1,SO,547.5,1331.8,2675.8,79
UW,1,MOVED,417.2,1497.5,2865.7,80
ER,0,AROUND,461.5,1387.5,1799,81
AW,1,AROUND,667.3,1681.6,2543.9,82
AE,1,YEAH,673,1957.9,2993,83
AW,1,NOW,676.2,1758.5,2746.8,84
AY,1,I,687.2,1388.2,1835.9,85
IH,1,LIVE,532.9,1507.1,2724.5,86
AO,1,NORTH,558.8,1086.7,1826.5,87
AO,1,PORTLAND,533,1035.8,2169.1,88
AH,0,PORTLAND,546.6,1712.8,3152.5,89
AY,1,I'VE,801.7,1643.2,2979.8,90
EH,1,NEVER,550,1768.1,2771.7,91
IH,1,LIVED,495.2,1541.3,2680.2,92
AH,0,IN,477.6,1676.8,2676.4,93
AO,1,NORTH,511.5,1057.8,1548,94
AO,1,PORTLAND,500,999.9,2122.8,95
IY,2,BEFORE,403.9,2173.7,2771.7,96
AO,1,BEFORE,476.1,874,1685,97
AY,1,I,794.8,1730.5,3146.5,98
IH,1,LIVE,492.4,1552.5,2712.1,99
AO,2,NORTHWEST,585.5,1151,2004.5,100
EH,1,NORTHWEST,605.5,1436.4,2512.9,101
AO,1,PORTLAND,495.3,881.6,2352,102
AH,0,PORTLAND,569,1550.8,2489.2,103
AW,2,SOUTHWEST,687.6,1307,2290.4,104
EH,1,SOUTHWEST,569,1389.5,2477.8,105
AO,1,PORTLAND,468,863.6,1949.3,106
AH,0,PORTLAND,561,1433.4,1897.8,107
AY,1,HEIGHTS,781.6,1803.3,2313.9,108
AH,1,UM,642.9,1165,1776.8,109
IH,1,IT,529.4,2139.1,3346.3,110
AH,0,DEPENDS,431.6,1832.7,2662.5,111
EH,1,DEPENDS,542.9,2007.2,NA,112
AA,1,ON,552,1206.1,1551.4,113
UW,1,YOU'RE,477.6,1889.5,3875.3,114
UH,1,LOOKING,503.9,1215.1,2752.9,115
AO,1,FOR,503.5,848.7,2243.7,116
AY,1,LIKE,665.9,1594.5,2784.4,117
IH,1,IF,494.1,1727.7,2458.6,118
UW,1,YOU,371.4,1432.4,2517,119
AY,1,I,716.3,1405.2,2936.3,120
IY,1,MEAN,453.5,2507.3,2918.1,121
IH,1,IF,480,2248.4,NA,122
OW,1,OK,500.3,1207,2261.6,123
EY,1,OK,505.6,1830.4,2538.7,124
AH,0,IF,492.9,1887.4,2472.4,125
AH,0,IF,458.7,1794.6,2526.5,126
AH,1,YOUNG,613.8,1277.8,2150.7,127
AY,1,I,726.6,1692.5,2986.6,128
IY,1,MEAN,464.9,2022,NA,129
AH,0,IF,491.5,1998.2,2636.7,130
AH,1,UH,676.3,1468.1,2532.9,131
IH,1,IT,488.1,1959.7,2939.9,132
AH,0,DEPENDS,426.9,1752.1,2917.1,133
EH,1,DEPENDS,534.1,1687.7,3693.9,134
AA,1,ON,562.7,1253,3308.3,135
AY,1,TIME,797,1674.5,2893.5,136
AH,0,OF,541.7,1524.9,1907.5,137
UH,1,YOUR,501.5,1715.5,2135.3,138
AY,1,LIFE,731.3,1513.1,2774.6,139
OW,1,KNOW,603.1,1655.6,2366.2,140
AY,1,LIKE,635.5,1581.8,2694.7,141
AY,1,I,633.1,1806.9,2475.5,142
EY,1,RAISE,463.1,1851.2,2275.9,143
AY,1,CHILD,789,1454.7,2209.6,144
AH,0,IN,491.2,1463.7,2555.3,145
AO,1,PORTLAND,489.3,915.9,1691.4,146
AH,0,PORTLAND,539.4,1478.5,2573.2,147
AO,1,OR,499.6,1085.6,2375.5,148
EH,1,WHERE,546,1808.6,2300.2,149
UH,1,WOULD,504.5,1449.6,2292.1,150
AY,1,I,679,1686.5,2323.6,151
OW,1,KNOW,585,1394.1,1901.3,152
AH,0,IF,554.7,1430.4,2115.5,153
AY,1,I'M,666.8,1417.8,1727.4,154
IH,1,IN,557.6,1914.7,2744.8,155
AY,1,LIKE,640.5,1601.9,2813.2,156
AA,1,PARTY,670.6,1089.9,2307.3,157
IY,0,PARTY,405.2,2223.7,2849.6,158
AA,1,PART,637,1071,2303.9,159
AY,1,MY,661.5,1503,2212.5,160
AY,1,LIFE,633.5,1630,2658.1,161
UW,1,DO,473.7,1296.6,2345.5,162
AY,1,I,641.8,1513.6,2302.8,163
AA,1,WANT,563.5,971.3,1866.1,164
IH,1,LIVE,485.7,1525.8,2803.2,165
AO,1,PORTLAND,495.3,984.1,2254,166
OW,1,KNOW,564.8,1449.8,1932.1,167
AY,1,I,618.7,1564.5,2414.9,168
AA,1,WANNA,542.5,1188.5,1860,169
AH,0,WANNA,515.6,1701.8,2729.7,170
AH,1,UP,582.2,1269.4,2498.6,171
AY,1,I,701.4,1401.7,2242.9,172
AY,1,LIKE,651.6,1573.5,2980.6,173
EH,1,WEST,602.9,1685,2769.7,174
AY,1,SIDE,683.4,1605.7,2429.9,175
IH,0,BECAUSE,355.2,2123.1,2505.1,176
AH,1,BECAUSE,567.5,1677.3,2429,177
IH,1,IT'S,434.5,1651.8,2560.5,178
AA,1,NOT,712.2,1214.5,2268,179
AO,1,ALL,604.3,1094.4,1419.8,180
EH,1,SQUARES,521.3,1779.7,2242.9,181
AH,1,UM,588.9,1246.4,1757.4,182
IY,0,THE,453.4,2137,2722.2,183
IY,1,EAST,309.5,2519,3989.2,184
AY,1,SIDE,734.7,1721.5,2377.5,185
IH,1,IS,410.9,1913.5,2984.7,186
IH,1,REALLY,460,1506.1,2676,187
IY,0,REALLY,436.1,1667.4,2846.8,188
EH,1,SQUARED,582.1,1902.9,3283.9,189
AO,1,OFF,704.1,1291,2436,190
IY,1,SEEMS,422.9,2161.7,4424.3,191
AY,1,LIKE,562.5,1602.1,2587.8,192
AH,0,A,462.1,1100.2,2557.6,193
AA,1,LOT,690.5,1154.7,2569.2,194
IY,1,PEOPLE,352.8,2574.7,NA,195
AH,0,PEOPLE,498.9,963.3,2215.8,196
EH,1,THERE'S,472.5,1748,2519.2,197
OW,1,NO,543.3,1435.4,2081,198
AY,1,PRIVACY,744.6,1738.2,3388.6,199
IY,0,PRIVACY,460,2364.9,NA,200
